## RECSRecommendations Upload File,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,
## RECS,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.description,entity.tag,entity.subcategory,entity.private
bank-business-advantage-account-change-form-ab0577e.pdf,Bank - Business Advantage Account - Change Form (AB0577E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/business-advantage-account/private/bank-business-advantage-account-change-form-ab0577e.pdf,-,-,To be completed when making a change to a Business Advantage Account. (AB0577E),After the sale,Business Advantage Account,TRUE
bank-business-advantage-account-banking-resolution-for-corporations-ab0649e.pdf,Bank - Business Advantage Account - Banking Resolution (Complete for corporations only) (AB0649E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/business-advantage-account/private/bank-business-advantage-account-banking-resolution-for-corporations-ab0649e.pdf,-,-,Manulife Bank - Banking Resolution (Complete for corporations only)  (AB0649E),After the sale,Business Advantage Account,TRUE
bank-deposit-account-application-for-trusts-and-estates-ab0908e.pdf,Bank - Deposit Account Application for Trusts and Estates (AB0908E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/business-advantage-account/private/bank-deposit-account-application-for-trusts-and-estates-ab0908e.pdf,-,-,"Use this application when applying for trust or estate deposit accounts. Included is the Application, Operating Agreement, and Services and Fees Brochure.",Before the sale,Business Advantage Account,TRUE
manulife-bank-manulifemoney-visa-application-group-retirement-ab0872e.pdf,Bank - Credit cards - ManulifeMONEY+ Visa card application for Group Retirement members only (AB0872E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/credit-cards/updf/manulife-bank-manulifemoney-visa-application-group-retirement-ab0872e.pdf,-,-,Complete this form to apply for a ManulifeMONEY+ Visa credit card for a group retirement plan member. (AB0872E),Before the sale,Credit Cards,FALSE
manulife-bank-manulifemoney-visa-application-group-benefit-ab0875e.pdf,Bank - Credit cards - ManulifeMONEY+ Visa card application for Group Benefit members only (AB0875E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/credit-cards/updf/manulife-bank-manulifemoney-visa-application-group-benefit-ab0875e.pdf,-,-,Complete this form to apply for a ManulifeMONEY+ Visa credit card for a group benefit plan member. (AB0875E),Before the sale,Credit Cards,FALSE
manulife-bank-manulifemoney-visa-application-ab0829e.pdf,Bank - Credit cards - ManulifeMONEY+ Visa Card Application (AB0829E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/credit-cards/updf/manulife-bank-manulifemoney-visa-application-ab0829e.pdf,-,-,ManulifeMONEY+ Visa Card Application (AB0829E),,Credit Cards,FALSE
manulife-bank-manulifemoney-visa-application-ab0829bqc.pdf,ManulifeMONEY+™ Visa Customer Application for Residents of Quebec - Bilingual (AB0829BQC),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/credit-cards/updf/manulife-bank-manulifemoney-visa-application-ab0829bqc.pdf,-,-,ManulifeMONEY+™ Visa Application to be used by customers who are residents of Quebec. (AB0829BQC),,Credit Cards,FALSE
manulife-bank-manulifemoney-visa-pre-authorized-debit-agreement-ab0835e.pdf,AB0835E - ManulifeMONEY+™ Visa* Pre-Authorized Debit (PAD) Agreement ,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/credit-cards/manulife-bank-manulifemoney-visa-pre-authorized-debit-agreement-ab0835e.pdf,-,-,Complete this form so clients can pay ManulifeMONEY+ Visa credit card bills directly from a personal account. (AB0835E),After the sale,Credit Cards,FALSE
bank-manulife-one-creditors-group-insurance-application-wm1044e.pdf,Bank - Manulife One Creditor's Group Insurance - Application (WM1044E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/creditors-group-insurance/private/bank-manulife-one-creditors-group-insurance-application-wm1044e.pdf,-,-,Manulife One Creditor's Group Insurance Application (WM1044E),,Creditors Group Insurance,TRUE
bank-manulife-one-creditors-group-insurance-premium-calculatore.xlsm,Bank - Manulife One Creditor's Group Insurance - Premium Calculator,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/creditors-group-insurance/private/bank-manulife-one-creditors-group-insurance-premium-calculatore.xlsm,-,-,Calculator to determine the cost of Manulife One Creditor Insurance,,Creditors Group Insurance,TRUE
bank-deposits-personal-account-application-kit-ab0168e.pdf,Bank Deposits - Personal Account Application Kit - AB0168E,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/deposit-products/private/bank-deposits-personal-account-application-kit-ab0168e.pdf,-,-,This form is for personal deposit account applications only. (AB0168E),Before the sale,Deposit Products,TRUE
bank-general-indemnity-agreement-probate-form-cs5731e.pdf,Bank - Indemnity Agreement Probate Form,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/private/bank-general-indemnity-agreement-probate-form-cs5731e.pdf,-,-,Manulife Bank Indemnity Agreement Probate Form (CS5731E),After the sale,General Bank Information,TRUE
bank-general-client-simple-referral-and-acknowledgment-form-wm0069e.pdf,Bank - Client Simple Referral & Acknowledgment Form (WM0069E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/private/bank-general-client-simple-referral-and-acknowledgment-form-wm0069e.pdf,-,-,Complete this form to disclose your referral agreement with Manulife Bank to clients. (WM0069E),After the sale,General Bank Information,TRUE
manulife-bank-ig-client-referral-forme.docx,Bank - IG Wealth Management Client Referral Form,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/updf/manulife-bank-ig-client-referral-forme.docx,-,-,IG Client Referral Form,,General Bank Information,FALSE
bank-specialized-lending-insurance-policy-leverage-application-ab0724e.pdf,Bank - Specialized Lending - Insurance Policy Leverage Application (AB0724E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/updf/bank-specialized-lending-insurance-policy-leverage-application-ab0724e.pdf,-,-,Insurance policy leverage application (AB0724E),,General Bank Information,FALSE
manulife-bank-ig-wealth-management-client-referral-forme.docx,Bank - IG wealth management - client referral form,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/updf/manulife-bank-ig-wealth-management-client-referral-forme.docx,-,-,IG Wealth Management - Client Referral Form,,General Bank Information,FALSE
manulife-bank-transfer-authorization-for-registered-investments-ab0164e.pdf,Bank - Registered investments transfer authorization form (AB0164E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-transfer-authorization-for-registered-investments-ab0164e.pdf,-,-,Complete this form to move funds to a Manulife Bank registered account from another registered account. (AB0164E),After the sale,General Bank Information,FALSE
manulife-bank-assignment-of-life-insurance-policy-ab0185e.pdf,Bank - Assignment of Life Insurance Policy form (AB0185E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-assignment-of-life-insurance-policy-ab0185e.pdf,-,-,Complete this form to assign a life insurance policy to Manulife Bank. (AB0185E),After the sale,General Bank Information,FALSE
manulife-bank-funds-transfer-agreement-ab0190e.pdf,Bank - Funds Transfer Agreement (For Canadian Dollar accounts only) form (AB0190E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-funds-transfer-agreement-ab0190e.pdf,-,-,Funds Transfer Agreement form (AB0190E),After the sale,General Bank Information,FALSE
manulife-bank-third-party-identiifcation-ab0321e.pdf,Bank - Third party identification form (AB0321E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-third-party-identiifcation-ab0321e.pdf,-,-,Complete this form when a Manulife Bank account is opened or suspected to be opened on behalf of a third party. (AB0321E),After the sale,General Bank Information,FALSE
manulife-bank-us-funds-transfer-pre-authorized-debit-agreement-ab0441e.pdf,Bank - $US Funds Transfer Pre-Authorized Debit (PAD) Agreement form (AB0441E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-us-funds-transfer-pre-authorized-debit-agreement-ab0441e.pdf,-,-,Complete this form to link a Manulife Bank account to a US dollar account at another Canadian financial institution. (AB0441E),After the sale,General Bank Information,FALSE
manulife-bank-business-funds-transfer-pre-authorized-debit-agreement-ab0466e.pdf,Bank - Business Funds Transfer Pre-Authorized Debit (PAD) Agreement form (AB0466E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-business-funds-transfer-pre-authorized-debit-agreement-ab0466e.pdf,-,-,Complete this form to link a Manulife Bank business account to an account at another Canadian financial institution (Canadian dollar accounts only). (AB0466E),After the sale,General Bank Information,FALSE
manulife-bank-identification-verification-form-and-signature-card-ab0487e.pdf,Bank - Identification Verification Form and Signature Card (AB0487E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-identification-verification-form-and-signature-card-ab0487e.pdf,-,-,Manulife Bank Identification Verification Form and Signature Card (AB0487E),After the sale,General Bank Information,FALSE
manulife-bank-pre-authorized-debit-agreement-ab0523e.pdf,Bank - Pre-Authorized Debit (PAD) Agreement (AB0523E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-pre-authorized-debit-agreement-ab0523e.pdf,-,-,Manulife Bank Pre-Authorized Debt (PAD) Agreement (AB0523E),After the sale,General Bank Information,FALSE
manulife-bank-consent-for-release-of-personal-information-through-an-intermediary-ab0588e.pdf,Bank - Consent for release of personal information through an intermediary form (AB0588E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-consent-for-release-of-personal-information-through-an-intermediary-ab0588e.pdf,-,-,"If your client is hearing impaired and would like assistance, please complete this form.",Before the sale,General Bank Information,FALSE
manulife-bank-business-declaration-form-ab0705e.pdf,Bank - Business declaration form (AB0705E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-business-declaration-form-ab0705e.pdf,-,-,Required for business payors who are different than the applicant for personal loans,After the sale,General Bank Information,FALSE
manulife-bank-politically-exposed-person-disclosure-ab0707e.pdf,Bank - Politically Exposed Person Disclosure form (AB0707E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-politically-exposed-person-disclosure-ab0707e.pdf,-,-,Complete this form if a politically exposed person is connected to a Manulife Bank account. (AB0707E),Supporting Documentation,General Bank Information,FALSE
manulife-bank-hypothec-on-life-insurance-policy-ab0736e.pdf,Bank - Hypothec – Life insurance policy form (AB0736E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-hypothec-on-life-insurance-policy-ab0736e.pdf,-,-,Complete this form to grant a hypotec in favour of Manulife Bank on a life insurance policy. (AB0736E),After the sale,General Bank Information,FALSE
manulife-bank-beneficiary-and-successor-holder-annuitant-designation-ab0805e.pdf,Bank - Beneficiary and successor holder/annuitant designation form (AB0805E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-beneficiary-and-successor-holder-annuitant-designation-ab0805e.pdf,-,-,"Complete this form to designate or change a successor holder/annuitant or beneficiary for a TFSA, RRSP or RRIF. (AB0805E).",After the sale,General Bank Information,FALSE
manulife-bank-personal-shareholder-borrowing-secured-by-corporate-owned-life-insurance-policy-acknowledgment-and-disclosure-ab0816e.pdf,Bank - Personal shareholder borrowing secured by corporate-owned life insurance policy acknowledgement and disclosure form (AB0816E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-personal-shareholder-borrowing-secured-by-corporate-owned-life-insurance-policy-acknowledgment-and-disclosure-ab0816e.pdf,-,-,"Complete this form when clients apply for personal shareholder borrowing secured by corporate-owned life insurance, not including seg funds. (AB0816E)",After the sale,General Bank Information,FALSE
manulife-bank-direct-deposit-form-cs5532e.pdf,Bank - Direct Deposit Form,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-direct-deposit-form-cs5532e.pdf,-,-,Complete this form to set up direct deposits into a Manulife Bank account. (CS5532E),After the sale,General Bank Information,FALSE
manulife-bank-international-tax-reporting-for-individuals-ab0804e.pdf,International Tax Reporting for Individuals (AB0804E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/manulife-bank-international-tax-reporting-for-individuals-ab0804e.pdf,-,-,The questions on this form collect the information required under the Income Tax Act to reduce tax evasion and improve tax compliance around the world.,,General Bank Information,FALSE
bank-joint-account-holder-ownership-share-declaration-quebec-ab0912e.pdf,Bank - Joint Account Holder (Spouses/Former Spouses) Ownership Share Declaration - Quebec Only (AB0912E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/general-bank-information/bank-joint-account-holder-ownership-share-declaration-quebec-ab0912e.pdf,-,-,To be used by Quebec joint account holders who are either spouses or former spouses and wish to declare their respective share of a deposit account. (AB0912E),Before the sale,General Bank Information,FALSE
bank-gic-saskatchewan-deposit-agent-declaration-of-trust-form-ab0159e.pdf,Bank GIC - Saskatchewan Deposit Agent Declaration of Trust Form - AB0159E,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/gic/private/bank-gic-saskatchewan-deposit-agent-declaration-of-trust-form-ab0159e.pdf,-,-,Advisor form: Declaration of Trust (Saskatchewan only) - Manulife Bank GICs 30-364 days (AB0159E),Before the sale,GIC,TRUE
bank-irp-corporate-line-of-credit-application-ab0808e.pdf,Bank - IRP - Corporate Insured Retirement Program Corporate Line of Credit Application (AB0808E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/insured-retirement-program/private/bank-irp-corporate-line-of-credit-application-ab0808e.pdf,-,-,Complete this form to apply for a Manulife Bank Corporate Insured Retirement Program Corporate Line of Credit. (AB0808E),Before the sale,Insured Retirement Program,TRUE
bank-irp-personal-line-of-credit-application-ab0807e.pdf,Bank - IRP -Insured Retirement Program Personal Line of Credit application (AB0807E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/insured-retirement-program/private/bank-irp-personal-line-of-credit-application-ab0807e.pdf,-,-,Complete this form to apply for a Manulife Bank Insured Retirement Program Personal Line of Credit (AB0807E),Before the sale,Insured Retirement Program,TRUE
manulife-bank-irp-personal-line-of-credit-application-ab0892e.pdf,Bank - IRP - Personal Line of Credit Application (IG) (AB0892E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/insured-retirement-program/updf/manulife-bank-irp-personal-line-of-credit-application-ab0892e.pdf,-,-,Insured Retirement Program Personal Line of Credit Application (IG Wealth Management Consultants only) (AB0892E),Before the sale,Insured Retirement Program,FALSE
manulife-bank-ig-insured-retirement-program-personal-line-of-credit-application-ab0898e.pdf,Bank - IRP - Personal Line of Credit Application (IG) (AB0898E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/insured-retirement-program/updf/manulife-bank-ig-insured-retirement-program-personal-line-of-credit-application-ab0898e.pdf,-,-,Insured Retirement Program Personal Line of Credit Application (IG Wealth Management Consultants only) (AB0898E),Before the sale,Insured Retirement Program,FALSE
manulife-bank-ig-insured-retirement-program-corporate-line-of-credit-application-ab0899e.pdf,Bank - IRP - Corporate Line of Credit Application (IG) (AB0899E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/insured-retirement-program/updf/manulife-bank-ig-insured-retirement-program-corporate-line-of-credit-application-ab0899e.pdf,-,-,Complete this form to apply for a Manulife Bank Insured Retirement Program Corporate Line of Credit Application (IG Wealth Management Consultants only) (AB0892E),Before the sale,Insured Retirement Program,FALSE
manulife-bank-irp-corporate-line-of-credit-application-ab0893e.pdf,Bank - IRP - Corporate line of credit application (IG) (AB0893E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/insured-retirement-program/updf/manulife-bank-irp-corporate-line-of-credit-application-ab0893e.pdf,-,-,Insured Retirement Program Corporate Line of Credit Application (IG Wealth Management Consultants only) (AB0893E),Before the sale,Insured Retirement Program,FALSE
manulife-bank-irp-personal-line-of-credit-application-with-corporate-security-ab0894e.pdf,Bank - IRP - personal line of credit application with corporate security (IG) (AB0894E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/insured-retirement-program/updf/manulife-bank-irp-personal-line-of-credit-application-with-corporate-security-ab0894e.pdf,-,-,Insured Retirement Program personal line of credit application with corporate security (IG Wealth Management Consultants only) (AB0894E),Before the sale,Insured Retirement Program,FALSE
bank-investment-loans-officers-certificate-for-pre-authorized-payment-authorization-ab0723e.pdf,Bank - Investment Loans - Officer's Certificate for Pre-Authorized Payment Authorization (AB0723E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/investment-loans/private/bank-investment-loans-officers-certificate-for-pre-authorized-payment-authorization-ab0723e.pdf,-,-,Required for (i) business payors who are different than the applicant for personal loans and (ii) for non personal loans where applicant is a Corporation,Before the sale,Investment Loans,TRUE
bank-investment-loans-pledge-of-securities-form-ab0192-mmfe.pdf,Bank Investment Loans - Pledge of Securities Form - AB0192MMFE,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/investment-loans/private/bank-investment-loans-pledge-of-securities-form-ab0192-mmfe.pdf,-,-,Pledge of Securities form to be completed by the client. (AB0192E MMF),Before the sale,Investment Loans,TRUE
bank-investment-loans-application-ab0334e.pdf,Bank Investment Loans - Application - AB0334E,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/investment-loans/private/bank-investment-loans-application-ab0334e.pdf,-,-,"Application for investment Loans of $10,000 to $1,000,000 for personal, non-registered accounts. (AB0334E)",Before the sale,Investment Loans,TRUE
bank-investment-loans-hypothec-on-annuity-form-ab0720e.pdf,Bank Investment Loans - Hypothec on Annuity Form - AB0720E,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/investment-loans/private/bank-investment-loans-hypothec-on-annuity-form-ab0720e.pdf,-,-,Hypothec on Annuity form for Manulife segregated fund investments (including Standard Life segregated funds) for Quebec Residents. (AB0720E),Before the sale,Investment Loans,TRUE
bank-investment-loans-letter-of-direction-for-transfer-form-ab0479e.pdf,Bank - Investment Loans - Letter of Direction for Investment Loan Transfer - AB0479E,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/investment-loans/private/bank-investment-loans-letter-of-direction-for-transfer-form-ab0479e.pdf,-,-,A Letter of Direction form to be completed for Investment Loan transfers (AB0479E),After the sale,Investment Loans,TRUE
bank-investment-loans-assignment-of-contract-of-annuity-form-ab0011e.pdf,Bank Investment Loans - Assignment of Contract of Annuity Form - AB0011E,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/investment-loans/private/bank-investment-loans-assignment-of-contract-of-annuity-form-ab0011e.pdf,-,-,"This form is for use with 100% and 3:1 Investment Loans, including Segregated Funds and GIAs. (AB0011E)",Before the sale,Investment Loans,TRUE
bank-investment-loans-pledge-of-securities-form-ab0192-mse.pdf,Bank Investment Loans - Pledge of Securities Form - AB0192MSE,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/investment-loans/private/bank-investment-loans-pledge-of-securities-form-ab0192-mse.pdf,-,-,Pledge of Securities form to be completed by the client. (AB0192E MS),Before the sale,Investment Loans,TRUE
bank-manulife-one-home-ownership-in-retirement-client-questionnaire-wm1145e.pdf,Bank Manulife One - Home Ownership in Retirement Client Questionnaire - WM1145E,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/manulife-one/private/bank-manulife-one-home-ownership-in-retirement-client-questionnaire-wm1145e.pdf,-,-,A questionnaire to use with clients about home ownership in retirement. (WM1145E),Before the sale,Manulife One,TRUE
manulife-bank-independent-legal-advice-manulife-one-mb0327e.pdf,Bank - Manulife One - Independent legal advice - Manulife One (all provinces except Quebec) (MB0327E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/manulife-one/updf/manulife-bank-independent-legal-advice-manulife-one-mb0327e.pdf,-,-,Certificate of independent legal advice for the Manulife One account (all provinces except Quebec) (MB0327E),,Manulife One,FALSE
bank-manulife-one-cashback-campaign-advisor-terms-mb0557e.pdf,Bank - Manulife One Cashback Campaign - Terms and conditions and acknowledgement form (for advisor use),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/manulife-one/updf/bank-manulife-one-cashback-campaign-advisor-terms-mb0557e.pdf,-,-,Terms and conditions and acknowledgement form for the Manulife One Cashback campaign (for advisor use).,,Manulife One,FALSE
bank-manulife-one-cashback-campaign-advisor-terms-mb0556e.pdf,Bank - Manulife One Cashback Campaign - Terms and conditions and acknowledgement form (for advisor use),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/manulife-one/updf/bank-manulife-one-cashback-campaign-advisor-terms-mb0556e.pdf,-,-,Terms and conditions and acknowledgement form for the Manulife One Cashback campaign (for advisor use).,,Manulife One,FALSE
